re,f_re,R,F1,F2,F3,F4,delta_f,F4_pred,F4_act/pred,ulp_f,F1/ulp,F4/ulp
2.9448275862068964,0.32084309133489464,0.5664301292612308,0.0,0.0,0.0,1.1102230246251565e-16,5.551115123125783e-17,4.900088145351529e-17,2.2657205170449233,5.551115123125783e-17,0.0,2.0
2.972413793103448,0.3271461716937355,0.5719669323428894,-5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,N/A,5.551115123125783e-17,-1.0,0.0
3.0,0.33333333333333337,0.5773502691896258,5.551115123125783e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16,5.551115123125783e-17,4.807406715958909e-17,2.3094010767585034,5.551115123125783e-17,1.0,2.0
3.2413793103448274,0.3829787234042553,0.618852747755276,-5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,4.485004828096004e-17,0.0,5.551115123125783e-17,-1.0,0.0
3.4827586206896552,0.4257425742574258,0.65248952041962,0.0,0.0,0.0,0.0,5.551115123125783e-17,4.253796382473565e-17,0.0,5.551115123125783e-17,0.0,0.0
3.7241379310344827,0.4629629629629629,0.6804138174397717,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,-5.551115123125783e-17,-4.079219866531555e-17,-0.0,5.551115123125783e-17,1.0,0.0
3.9655172413793105,0.4956521739130435,0.7040256912308268,0.0,0.0,0.0,0.0,0.0,0.0,N/A,5.551115123125783e-17,0.0,0.0
4.206896551724138,0.5245901639344261,0.7242859683401482,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,-7.664258822861523e-17,-0.0,1.1102230246251565e-16,1.0,0.0
4.448275862068965,0.5503875968992248,0.7418811204628575,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,N/A,1.1102230246251565e-16,1.0,0.0
4.689655172413794,0.573529411764706,0.757317246446102,0.0,0.0,0.0,0.0,0.0,0.0,N/A,1.1102230246251565e-16,0.0,0.0
4.931034482758621,0.5944055944055944,0.7709770388316337,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,-7.200104339732532e-17,-0.0,1.1102230246251565e-16,1.0,0.0
